会社名,部署,担当者,事業内容,課題仮説,HP,フォームURL
株式会社エムシーエス,開発部,ご担当者,Webアプリ・サービス運営（ソフトウェア販売）を手がける企業。本社青森県。従業員50人以上300人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://kk-mcs.jp/company/profile/,https://www.kk-mcs.jp/contact/company/
株式会社エムキューブ,開発部,ご担当者,クラウド系/SaaS/ASPサービス（Webマーケコンサル・その他IT・その他コンサル）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,顧客要望による管理画面・ダッシュボードの機能追加が続き、フロントエンドの改修がバックログに積み上がっている。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.m-cube.com/company/,https://www.m-cube.com/inquiry/
株式会社オーサムエージェント,開発部,ご担当者,Webアプリ・サービス運営（Webマーケコンサル・Web制作・総合広告代理店）を手がける企業。本社愛知県。従業員50人以上300人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。受託案件の波で稼働が上下し、繁忙期だけ経験者を確保する手段がない。,https://awesomegroup.co.jp/company/overview/,https://awesomegroup.co.jp/contact/
株式会社シェアリング・ビューティー,開発部,ご担当者,Webアプリ・サービス運営（受託開発・その他医療・福祉・美容サロン）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。受託案件の波で稼働が上下し、繁忙期だけ経験者を確保する手段がない。,https://www.sharingbeauty.co.jp/,http://www.rich.co.jp/contact
株式会社ロジレス,開発部,ご担当者,Webアプリ・サービス運営（ソフトウェア販売・その他運輸・物流・倉庫）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://corp.logiless.com/company/,https://www.logiless.co.jp/contact/
株式会社Nextremer,開発部,ご担当者,Webアプリ・サービス運営（その他IT）を手がける企業。本社高知県。従業員50人以上300人未満。売上規模1億円以上3億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.nextremer.com/,https://www.nextremer.com/contact
エースチャイルド株式会社,開発部,ご担当者,Webアプリ・サービス運営（スマホアプリ・ITコンサル）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。クライアント案件でフロントエンド要員を求められても、自社で供給しきれないケースがある。,https://www.as-child.com/,https://www.as-child.com/contact
スタークス株式会社,開発部,ご担当者,Webアプリ・サービス運営（ソフトウェア販売・Webアプリ・サービス運営）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://starx.co.jp/,https://starx.co.jp/contact/
株式会社ZAICO,開発部,ご担当者,クラウド系/SaaS/ASPサービス（Webアプリ・サービス運営）を手がける企業。本社山形県。従業員50人以上300人未満。売上規模10億円以上50億円未満。,顧客要望による管理画面・ダッシュボードの機能追加が続き、フロントエンドの改修がバックログに積み上がっている。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.zaico.co.jp,https://www.zaico.co.jp/biz-contact/
Shopify Japan株式会社,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.shopify.com/jp,https://www.shopify.jp/contact
株式会社エーアイセキュリティラボ,技術部,ご担当者,情報セキュリティ（その他コンサル）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,管理コンソールやダッシュボードのUIが製品評価に直結するのに、セキュリティ専門のエンジニアがUI実装まで抱えており開発が詰まりやすい。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.aeyesec.jp/company,https://www.aeyesec.jp/contact
株式会社visumo,開発部,ご担当者,Webアプリ・サービス運営（その他IT）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://visumo.asia/company,https://visumo.asia/contact
株式会社ACES,開発部,ご担当者,Webアプリ・サービス運営（その他IT・ITコンサル）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。クライアント案件でフロントエンド要員を求められても、自社で供給しきれないケースがある。,https://acesinc.co.jp/company/company-profile,https://acesinc.co.jp/contact.html
株式会社ネクイノ,開発部,ご担当者,Webアプリ・サービス運営（その他医療・福祉・その他コンサル）を手がける企業。本社大阪府。従業員50人以上300人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://nextinnovation-inc.co.jp/,http://nextinnovation-inc.co.jp/contact/
株式会社エナーバンク,開発部,ご担当者,Webアプリ・サービス運営（Webアプリ・サービス運営）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.enerbank.co.jp/,https://www.enerbank.co.jp/contact
株式会社トリビュー,開発部,ご担当者,クラウド系/SaaS/ASPサービス（その他広告・制作・Webアプリ・サービス運営）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,顧客要望による管理画面・ダッシュボードの機能追加が続き、フロントエンドの改修がバックログに積み上がっている。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://corp.tribeau.jp/company/,https://corp.tribeau.jp/contact/
ストライプジャパン株式会社,開発部,ご担当者,クラウド系/SaaS/ASPサービス（Webアプリ・サービス運営）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,顧客要望による管理画面・ダッシュボードの機能追加が続き、フロントエンドの改修がバックログに積み上がっている。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://stripe.com/jp,https://stripe.com/jp/contact/sales
ウイン・パートナーズ株式会社,情報システム部,ご担当者,医療機器を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,製品情報サイトや顧客向けポータル、社内システムのWeb化を進めたいが、社内にフロントエンド開発の専任者がおらず外注先の品質もばらつく。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,http://www.win-partners.co.jp/,http://www.win-partners.co.jp/contact/index.html
メリットメディカル・ジャパン株式会社,情報システム部,ご担当者,医療機器を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,製品情報サイトや顧客向けポータル、社内システムのWeb化を進めたいが、社内にフロントエンド開発の専任者がおらず外注先の品質もばらつく。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.merit.co.jp/about-merit/,https://www.merit.co.jp/contact-us/
株式会社ハッピーデザイン,開発部,ご担当者,Webアプリ・サービス運営（ITインフラストラクチャー・Webアプリ・サービス運営）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.happy-design.co.jp/,http://www.happy-design.co.jp/contact.php
株式会社図研プリサイト,開発部,ご担当者,Webアプリ・サービス運営（企業研修・ソフトウェア販売）を手がける企業。本社神奈川県。従業員50人以上300人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.presight.co.jp/about/company.html,https://www.presight.co.jp/contact/
株式会社Goals,開発部,ご担当者,クラウド系/SaaS/ASPサービス（その他IT）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,顧客要望による管理画面・ダッシュボードの機能追加が続き、フロントエンドの改修がバックログに積み上がっている。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://goals.co.jp,https://goals.co.jp/contact/
株式会社LIGHTz,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社茨城県。従業員50人以上300人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://lightz-inc.com/about-us/overview.html,https://lightz-inc.com/contacts/
株式会社アーキベース,開発部,ご担当者,Webアプリ・サービス運営（経営コンサル・人材派遣・人材紹介）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。クライアント案件でフロントエンド要員を求められても、自社で供給しきれないケースがある。,https://archibase.co.jp/aboutus,https://archibase.co.jp/contact
株式会社Another works,開発部,ご担当者,Webアプリ・サービス運営（人材派遣）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。クライアント案件でフロントエンド要員を求められても、自社で供給しきれないケースがある。,https://anotherworks.co.jp/,https://cl.aw-anotherworks.com/user_contact
株式会社アイ・ファクトリー,開発部,ご担当者,Webアプリ・サービス運営（広告制作・人材紹介・人材派遣）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。クライアント案件でフロントエンド要員を求められても、自社で供給しきれないケースがある。,https://i-fc.jp/,https://i-fc.jp/contact/other/
株式会社サイキンソー,情報システム部,ご担当者,医療機器を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,製品情報サイトや顧客向けポータル、社内システムのWeb化を進めたいが、社内にフロントエンド開発の専任者がおらず外注先の品質もばらつく。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://cykinso.co.jp/company,https://support.cykinso.co.jp/hc/ja/requests/new
株式会社ブッキングリゾート,開発部,ご担当者,Webアプリ・サービス運営（経営コンサル・その他人材・求人媒体運営・求人情報誌出版）を手がける企業。本社大阪府。従業員50人以上300人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.booking-resort.jp/,http://sakanet.co.jp/contact/
カイテク株式会社,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社東京都。従業員50人以上300人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://corp.caitech.co.jp/company/,https://caitech.co.jp/recruit_form/
株式会社ユーエムイーネッツ,開発部,ご担当者,Webアプリ・サービス運営（eコマース・人材派遣）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。セール時期や表示速度の改善など、フロントエンドの品質が売上に直結する。,https://www.umenetts.co.jp/,https://www.umenetts.co.jp/contact/
Inagora株式会社,開発部,ご担当者,Webアプリ・サービス運営（eコマース）を手がける企業。本社神奈川県。従業員50人以上300人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。セール時期や表示速度の改善など、フロントエンドの品質が売上に直結する。,http://inagora.com/,https://www.inagora.com/platform/
GMO Flatt Security株式会社,開発部,ご担当者,クラウド系/SaaS/ASPサービス（その他IT）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,顧客要望による管理画面・ダッシュボードの機能追加が続き、フロントエンドの改修がバックログに積み上がっている。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://flatt.tech/,https://flatt.tech/contact
ケアミックス株式会社,開発部,ご担当者,Webアプリ・サービス運営（機械レンタル・リース・人材派遣・人材紹介）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。クライアント案件でフロントエンド要員を求められても、自社で供給しきれないケースがある。,https://www.care-mix.co.jp/company/office_location/,https://www.care-mix.co.jp/contact/
株式会社ZENKIGEN,開発部,ご担当者,Webアプリ・サービス運営（経営コンサル・イベント）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://zenkigen.co.jp/company/,https://zenkigen.co.jp/contact/
ネイロ株式会社,開発部,ご担当者,ゲーム開発（Webアプリ・サービス運営・デジタル系コンテンツ・ソーシャルゲーム・スマホゲーム）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,ゲーム本体の開発にエンジニアを集中させたい一方、公式サイト・運営管理ツール・Web版の改修が後回しになりやすい。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://neilo.co.jp/company/info,http://neilo.co.jp/contact/
株式会社グリーンウェイズ,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://greenways.jp/company/,http://www.greenways.jp/contact/
株式会社スピークバディ,開発部,ご担当者,クラウド系/SaaS/ASPサービス（その他IT・Webアプリ・サービス運営）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,顧客要望による管理画面・ダッシュボードの機能追加が続き、フロントエンドの改修がバックログに積み上がっている。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.speakbuddy.com/,https://speakbuddy.jp/contact
ラピードアクト株式会社,開発部,ご担当者,Webアプリ・サービス運営（受託開発・ITインフラストラクチャー）を手がける企業。本社福岡県。従業員50人以上300人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。受託案件の波で稼働が上下し、繁忙期だけ経験者を確保する手段がない。,https://rapide-act.com/,https://rapide-act.com/contact/
株式会社Lime,開発部,ご担当者,Webアプリ・サービス運営（求人媒体運営・求人情報誌出版・ジム・フィットネス）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://lime-fit.com/,http://lime-fit.com/contact.php
イチニ株式会社,開発部,ご担当者,Webアプリ・サービス運営（その他マスコミ・出版・セミナー・クラウド系/SaaS/ASPサービス）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://ichi-ni.jp/,https://ichi-ni.jp/inquiry/
株式会社アイテックジャパン,技術部,ご担当者,情報セキュリティ（ITインフラストラクチャー・Webアプリ・サービス運営）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,管理コンソールやダッシュボードのUIが製品評価に直結するのに、セキュリティ専門のエンジニアがUI実装まで抱えており開発が詰まりやすい。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://itec.ad.jp/itec/office/,https://itec.ad.jp/itec/form_c/xs=_jh0AiOnRNUtY/
株式会社アクリート,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社東京都。従業員50人以上300人未満。売上規模50億円以上300億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.accrete-inc.com/company/access.html,https://www.accrete-inc.com/contact/
Global Mobility Service株式会社,開発部,ご担当者,クラウド系/SaaS/ASPサービス（その他IT・その他金融関連サービス）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,顧客要望による管理画面・ダッシュボードの機能追加が続き、フロントエンドの改修がバックログに積み上がっている。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.global-mobility-service.com/,https://www.global-mobility-service.com/contact/
株式会社リアルミー,開発部,ご担当者,Webアプリ・サービス運営（求人媒体運営・求人情報誌出版・人材紹介）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://realme.co.jp/about,https://realme.co.jp/contact
株式会社400F,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社東京都。従業員50人以上300人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,http://400f.jp/,https://400f.jp/contact
株式会社WILBY,開発部,ご担当者,Webアプリ・サービス運営（デジタル系コンテンツ）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://wilby.co.jp/,https://wilby.co.jp/contact/
ヘルスケアテクノロジーズ株式会社,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社東京都。従業員50人以上300人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://healthcare-tech.co.jp/,https://healthcare-tech.co.jp/download/form-1.php
株式会社イーガオ,開発部,ご担当者,Webアプリ・サービス運営（Web制作）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。受託案件の波で稼働が上下し、繁忙期だけ経験者を確保する手段がない。,https://www.egao-inc.co.jp/aboutus/,https://www.egao-inc.co.jp/contact/
株式会社YMIT,情報システム部,ご担当者,医療機器（計測機器・センサー・精密機器・半導体）を手がける企業。本社滋賀県。従業員50人以上300人未満。売上規模10億円以上50億円未満。,製品情報サイトや顧客向けポータル、社内システムのWeb化を進めたいが、社内にフロントエンド開発の専任者がおらず外注先の品質もばらつく。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,http://www.ymitech.co.jp/company.html,http://www.ymitech.co.jp/contact.html
かっこ株式会社,開発部,ご担当者,Webアプリ・サービス運営（財務コンサル・その他IT）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://cacco.co.jp/company/,https://cacco.co.jp/contact/
株式会社アジャイルウェア,開発部,ご担当者,Webアプリ・サービス運営（その他IT・受託開発）を手がける企業。本社大阪府。従業員50人以上300人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。受託案件の波で稼働が上下し、繁忙期だけ経験者を確保する手段がない。,https://agileware.jp/company/,https://agileware.jp/contact
株式会社ブルーオーシャンシステム,開発部,ご担当者,Webアプリ・サービス運営（セミナー）を手がける企業。本社静岡県。従業員50人以上300人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.bosys.co.jp/company_outline/,http://www.bosys.co.jp/contact/entry.html
株式会社アドバンスホールディングス,開発部,ご担当者,Webアプリ・サービス運営（ソフトウェア販売・ITインフラストラクチャー・照明器具）を手がける企業。本社大阪府。従業員50人以上300人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.advance-holdings.co.jp/about.html,http://www.advance-holdings.co.jp/contact
株式会社HataLuck and Person,開発部,ご担当者,Webアプリ・サービス運営（経営コンサル）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://corp.hataluck.com/company/,https://kmw.jp/contact/
株式会社Nagisa,開発部,ご担当者,Webアプリ・サービス運営（書籍・メディア販売・Webアプリ・サービス運営）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://nagisa-inc.jp/company,https://nagisa-inc.jp/contact
株式会社フライヤー,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社東京都。従業員50人以上300人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://corp.flierinc.com/company/about,https://www.flierinc.com/inquire
セキュアエッジ株式会社,技術部,ご担当者,情報セキュリティ（ITコンサル・塾・予備校・防犯機器）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,管理コンソールやダッシュボードのUIが製品評価に直結するのに、セキュリティ専門のエンジニアがUI実装まで抱えており開発が詰まりやすい。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。クライアント案件でフロントエンド要員を求められても、自社で供給しきれないケースがある。,https://www.secureedge.jp/company/,http://www.implace.jp/contact/
先進モビリティ株式会社,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社茨城県。従業員50人以上300人未満。売上規模1億円以上3億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.as-mobi.com/company/,http://www.as-mobi.com/contact/
ギットハブ・ジャパン合同会社,開発部,ご担当者,Webアプリ・サービス運営（クラウド系/SaaS/ASPサービス）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模3億円以上10億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://github.co.jp/,https://enterprise.github.com/contact
株式会社オキシテック,情報システム部,ご担当者,医療機器（介護用品・保育・託児・障害者福祉）を手がける企業。本社大阪府。従業員50人以上300人未満。売上規模10億円以上50億円未満。,製品情報サイトや顧客向けポータル、社内システムのWeb化を進めたいが、社内にフロントエンド開発の専任者がおらず外注先の品質もばらつく。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.oxitec.co.jp/,http://www.oxitec.co.jp/contact.html
GOOPASS株式会社,開発部,ご担当者,Webアプリ・サービス運営（機械レンタル・リース・その他リース・デジタル系コンテンツ）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://goopass.co.jp/company/,https://camelove.co.jp/contact/
